sample,time_feat,motion_feat,delta_hr_feat,mssd_feat,label
1034,4035,22,11,400,0
1035,4038,22,0,400,0
1036,4041,22,0,400,0
1037,4044,22,1,900,0
1038,4047,22,0,900,0
1039,4050,22,19,900,0
1040,4053,22,0,676,0
1041,4062,22,-27,676,0
1042,4068,22,27,676,0
1043,4071,22,1,676,0
1044,4077,22,-25,676,0
1045,4083,22,-3,676,0
1046,4086,22,3,676,0
1047,4089,22,0,900,0
1048,4092,22,0,900,0
1049,4098,22,-28,900,0
1050,4101,22,0,100,0
1051,4110,23,31,100,0
1052,4113,22,0,0,0
1053,4116,22,0,400,0
1054,4119,22,0,0,0
1055,4122,22,0,100,0
1056,4128,23,19,100,0
1057,4131,22,-19,100,0
1058,4137,22,25,100,0
1059,4140,23,-19,100,0
1060,4143,22,0,100,0
1061,4149,22,-25,100,0
1062,4152,22,6,100,0
1063,4155,22,0,100,0
1064,4158,23,0,100,0
1065,4161,22,0,100,0
1066,4164,22,0,100,0
1067,4167,22,19,100,0
1068,4173,22,-30,100,0
1069,4176,22,30,100,0
1070,4179,22,-19,100,0
1071,4182,22,0,100,0
1072,4185,22,19,100,0
1073,4188,23,-25,100,0
1074,4194,22,0,100,0
1075,4197,23,19,100,0
1076,4203,22,-25,100,0
1077,4206,22,0,100,0
1078,4209,22,0,100,0
1079,4215,23,-28,100,0
1080,4218,22,19,100,0
1081,4221,22,0,400,0
1082,4224,22,1,400,0
1083,4227,23,0,100,0
1084,4233,22,19,100,0
1085,4236,22,0,0,0
1086,4242,22,25,0,0
1087,4245,23,0,0,0
1088,4248,22,19,0,0
1089,4254,22,25,0,0
1090,4257,23,0,0,0
1091,4263,22,-25,0,0
1092,4272,22,31,0,0
1093,4275,22,0,0,0
1094,4278,22,-25,0,0
1095,4281,22,6,0,0
1096,4284,22,19,0,0
1097,4287,23,0,0,0
1098,4290,22,-25,0,0
1099,4293,22,25,0,0
1100,4296,22,-19,0,0
1101,4299,23,0,0,0
1102,4302,22,-6,0,0
1103,4305,22,25,0,0
1104,4308,22,0,0,0
1105,4311,22,19,0,0
1106,4314,22,0,0,0
1107,4317,23,-25,0,0
1108,4320,22,6,0,0
1109,4326,22,25,0,0
1110,4329,23,-19,0,0
1111,4332,22,19,0,0
1112,4335,22,0,400,0
1113,4341,22,25,400,0
1114,4344,22,0,400,0
1115,4347,23,0,400,0
1116,4350,22,-19,400,0
1117,4353,22,0,400,0
1118,4359,22,-6,400,0
1119,4362,22,19,400,0
1120,4365,22,-19,400,0
1121,4368,22,0,400,0
1122,4371,22,1,1296,0
1123,4374,23,-19,1296,0
1124,4377,22,19,1296,0
1125,4380,22,0,400,0
1126,4383,22,0,900,0
1127,4386,23,0,900,0
1128,4389,22,-19,900,0
1129,4395,22,28,900,0
1130,4398,23,0,900,0
1131,4401,22,-19,900,0
1132,4404,23,19,900,0
1133,4407,22,-19,900,0
1134,4410,22,18,900,0
1135,4416,23,-24,900,0
1136,4419,22,6,900,0
1137,4422,22,1,3136,0
1138,4425,22,1,900,0
1139,4428,23,1,1296,0
1140,4431,22,-1,676,0
1141,4434,22,-18,676,0
1142,4437,22,0,676,0
1143,4440,22,19,676,0
1144,4443,22,-19,676,0
1145,4446,23,0,100,0
1146,4449,22,0,36,0
1147,4452,22,-18,36,0
1148,4458,23,-6,36,0
1149,4461,22,-1,900,0
1150,4464,22,1,1296,0
1151,4467,22,-19,1296,0
1152,4473,22,24,1296,0
1153,4476,23,-18,1296,0
1154,4482,22,0,1296,0
1155,4488,23,-11,1296,0
1156,4491,22,1,676,0
1157,4500,22,-30,676,0
1158,4503,22,1,256,0
1159,4506,23,0,100,0
1160,4509,22,0,100,0
1161,4512,22,19,100,0
1162,4515,23,-19,100,0
1163,4533,23,-15,100,0
1164,4536,22,0,400,0
1165,4542,22,-28,400,0
1166,4545,23,28,400,0
1167,4548,22,-19,400,0
1168,4551,22,0,400,0
1169,4554,22,1,400,0
1170,4560,22,24,400,0
1171,4563,22,-18,400,0
1172,4566,22,0,400,0
1173,4572,22,-6,400,0
1174,4575,22,-1,256,0
1175,4581,22,25,256,0
1176,4584,22,0,36,0
1177,4587,22,1,36,0
1178,4590,22,-19,36,0
1179,4593,22,19,36,0
1180,4596,22,-25,36,0
1181,4599,22,3,15876,0
1182,4602,22,-22,15876,0
1183,4605,22,-2,1600,0
1184,4608,22,-28,1600,0
1185,4611,22,-3,11236,0
1186,4614,22,-1,256,0
1187,4617,22,-18,256,0
1188,4620,22,20,256,0
1189,4623,22,37,256,0
1190,4626,22,14,256,0
1191,4629,22,1,256,0
1192,4632,22,-25,256,0
1193,4635,22,24,256,0
1194,4638,22,-18,256,0
1195,4641,22,0,256,0
1196,4644,22,0,256,0
1197,4650,22,25,256,0
1198,4653,22,-19,256,0
1199,4659,22,19,256,0
1200,4662,22,-1,1296,0
